length,height_percentage
30,38.4
31.2,40
31.1,39.8
33.5,38
34,36.6
34.7,39.2
34.5,41.1
35,36.2
35.1,39.9
36.2,39.3
36.2,39.4
36.2,39.7
36.4,37.8
37.2,40.2
37.2,41.5
38.3,38.8
38.5,38.8
38.6,40.5
38.7,37.4
39.5,38.3
39.2,40.8
39.7,39.1
40.6,38.1
40.5,40.1
40.9,40
40.6,40.3
41.5,39.8
41.6,40.6
42.6,44.5
44.1,40.9
44,41.1
45.3,41.4
45.9,40.6
46.5,37.9
16.2,25.6
20.3,26.1
21.2,26.3
22.2,25.3
22.2,28
22.8,28.4
23.1,26.7
23.7,25.8
24.7,23.5
24.3,27.3
25.3,27.8
25,26.2
25,25.6
27.2,27.7
26.7,25.9
26.8,27.6
27.9,25.4
29.2,30.4
30.6,28
35,27.1
10.8,16.1
11.6,17
11.6,14.9
12,18.3
12.4,16.8
12.6,15.7
13.1,16.9
13.1,16.9
13.2,16.7
13.4,15.6
13.5,18
13.8,16.5
15.2,18.9
16.2,18.1
34.8,16
37.8,15.1
38.8,15.3
39.8,15.8
40.5,18
41,15.6
45.5,16
45.5,15
45.8,17
48,14.5
48.7,16
51.2,15
55.1,16.2
59.7,17.9
64,15
64,15
68,15.9
